Name,Goals,Assists,Expected goals (xG),Shots,Successful passes,Shots on target,Penalty goals,Expected assists (xA),Pass accuracy,Accurate long balls,Long ball accuracy,Chances created,Successful dribbles,Dribble success,Touches,Touches in opposition box,Dispossessed,Fouls won,Penalties awarded,Tackles won,Tackles won %,Duels won,Duels won %,Aerial duels won,Aerial duels won %,Interceptions,Blocked,Fouls committed,Recoveries,Possession won final 3rd,Dribbled past,Yellow cards,Red cards
Erling Haaland,25,5,26.23,112,262,57,6,2.14,76.8%,3,60.0%,29,12,44.4%,626,177,18,26,2,2,40.0%,79,47.6%,36,48.0%,2,20,15,43,21,1,1,0
Cole Palmer,21,9,17.24,97,"1,008",44,9,7.31,83.4%,62,67.4%,61,48,54.5%,"1,719",121,39,23,1,12,54.5%,94,44.5%,1,20.0%,17,26,24,93,25,11,7,0
Unknown,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Ollie Watkins,19,12,16.04,103,433,47,Not Available,4.10,76.8%,3,27.3%,43,24,44.4%,"1,028",220,53,39,2,7,58.3%,121,39.7%,47,37.6%,4,20,21,63,19,6,4,0
Dominic Solanke,18,3,18.80,103,385,37,2,2.00,74.0%,8,66.7%,39,38,39.6%,"1,193",227,81,44,1,11,47.8%,197,38.0%,93,41.7%,7,30,41,97,29,17,3,0
Mohamed Salah,18,10,20.08,106,671,51,5,7.24,76.0%,23,63.9%,64,24,34.3%,"1,375",242,56,23,1,9,64.3%,67,32.7%,6,31.6%,2,21,10,81,24,13,2,0
Heung-Min Son,17,9,10.79,75,768,35,2,7.19,84.2%,10,71.4%,59,36,46.2%,"1,312",208,35,36,1,11,64.7%,93,45.1%,4,20.0%,8,19,11,70,27,10,1,0
Jarrod Bowen,16,6,10.47,77,450,35,Not Available,4.68,75.3%,13,48.1%,29,31,36.5%,"1,184",174,56,41,Not Available,28,66.7%,147,39.4%,33,32.7%,19,18,28,115,27,22,2,0
Phil Foden,16,8,9.62,96,"1,334",41,Not Available,6.44,88.6%,38,62.3%,65,44,50.0%,"2,074",192,43,54,Not Available,18,62.1%,133,51.2%,6,28.6%,13,41,12,118,31,14,1,0
Bukayo Saka,16,9,15.17,106,"1,068",36,6,10.73,83.2%,27,42.9%,88,46,46.9%,"2,075",277,51,67,1,34,53.1%,200,49.5%,24,39.3%,14,43,39,151,37,31,3,0
Nicolas Jackson,13,5,17.14,73,461,38,Not Available,2.62,77.7%,9,64.3%,36,44,56.4%,"1,028",153,61,35,Not Available,13,65.0%,132,41.6%,33,39.3%,4,14,25,89,21,18,9,0
Chris Wood,12,1,9.81,40,260,21,Not Available,1.09,66.0%,6,60.0%,22,6,40.0%,615,88,19,11,Not Available,4,57.1%,92,39.5%,68,43.9%,1,7,22,42,4,5,0,0
Hee-Chan Hwang,12,3,7.02,43,392,17,1,2.85,77.8%,10,58.8%,17,35,54.7%,842,111,30,31,1,9,47.4%,92,39.7%,7,14.9%,9,10,29,73,16,15,6,0
Kai Havertz,12,6,10.97,60,723,27,1,3.68,81.8%,7,43.8%,43,16,47.1%,"1,293",172,33,42,1,15,46.9%,183,47.4%,96,50.8%,18,14,48,116,25,24,10,0
Unknown,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Darwin Nunez,11,8,16.31,106,326,45,Not Available,4.44,71.5%,10,41.7%,33,15,42.9%,819,202,28,15,1,12,57.1%,85,37.8%,34,38.2%,3,21,27,54,16,12,9,0
Leandro Trossard,11,1,7.37,58,443,21,Not Available,2.40,78.4%,17,58.6%,22,25,62.5%,924,125,37,19,1,16,66.7%,73,45.6%,6,37.5%,6,18,14,84,12,11,2,0
Richarlison,11,4,9.59,62,265,25,Not Available,1.45,70.9%,7,70.0%,15,10,30.3%,734,125,40,30,Not Available,11,68.8%,81,35.4%,26,31.0%,8,15,20,42,13,8,3,0
Matheus Cunha,11,7,8.84,68,605,34,1,2.89,81.8%,16,55.2%,27,60,51.7%,"1,289",118,50,45,1,16,53.3%,150,43.5%,15,26.8%,13,14,27,105,23,22,8,0
Diogo Jota,10,3,5.32,41,286,20,Not Available,1.74,74.5%,9,69.2%,22,15,41.7%,644,115,18,21,2,13,56.5%,76,39.8%,18,31.6%,7,11,27,48,6,13,1,1
Elijah Adebayo,10,0,6.54,29,134,13,Not Available,0.41,74.0%,1,25.0%,14,16,29.6%,477,80,30,12,Not Available,Not Available,Not Available,71,33.6%,40,47.6%,6,6,24,33,9,9,1,0
Leon Bailey,10,9,6.14,50,532,18,Not Available,6.30,78.2%,27,65.9%,49,52,52.0%,"1,116",131,39,24,Not Available,6,50.0%,101,40.4%,14,37.8%,9,14,25,103,14,14,5,0
Yoane Wissa,10,1,10.13,62,300,24,Not Available,1.87,72.6%,10,62.5%,27,20,47.6%,795,122,20,48,1,16,57.1%,132,48.7%,36,42.4%,9,14,36,97,23,14,6,0
Anthony Gordon,10,10,9.27,76,698,30,1,5.05,82.5%,26,59.1%,49,46,46.0%,"1,449",150,35,65,6,33,62.3%,172,48.5%,8,30.8%,7,23,36,123,27,41,9,1
Unknown,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Unknown,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Carlton Morris,10,4,9.96,67,453,29,4,1.43,66.7%,7,46.7%,21,28,60.9%,"1,126",134,52,40,Not Available,7,63.6%,205,42.6%,127,43.8%,1,12,45,66,15,6,2,0
Rodrigo Muniz,9,1,8.60,72,131,26,Not Available,0.93,61.5%,7,70.0%,18,5,27.8%,515,124,34,33,Not Available,3,42.9%,118,39.7%,74,41.3%,4,17,24,33,11,5,1,0
Michael Olise,9,4,4.61,49,433,18,1,4.05,83.0%,23,71.9%,33,38,61.3%,929,70,31,37,Not Available,8,47.1%,98,50.8%,6,28.6%,10,20,10,59,6,15,0,0
Callum Wilson,9,1,8.87,35,101,21,2,0.54,65.6%,2,40.0%,8,13,46.4%,359,83,34,17,Not Available,3,60.0%,44,34.6%,9,36.0%,2,5,15,17,5,4,3,0
Douglas Luiz,9,5,6.85,47,"1,672",17,4,4.95,89.3%,96,66.7%,50,23,60.5%,"2,337",40,30,39,Not Available,38,66.7%,143,51.4%,24,55.8%,22,20,49,176,22,26,11,0
Joao Pedro,9,2,10.80,69,577,25,4,3.70,82.4%,12,57.1%,35,40,50.0%,"1,227",178,62,58,2,14,50.0%,163,52.2%,37,62.7%,10,28,17,57,16,8,2,0
Unknown,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Luis Diaz,8,5,11.41,90,816,31,Not Available,4.47,85.5%,44,81.5%,57,63,54.8%,"1,525",213,67,41,1,22,71.0%,160,40.6%,26,34.7%,3,28,47,119,23,22,3,0
Rasmus Højlund,8,2,7.36,35,284,19,Not Available,0.88,77.6%,9,100.0%,26,14,43.8%,645,100,26,30,Not Available,6,60.0%,76,37.1%,22,26.5%,1,5,17,55,17,8,2,0
Eberechi Eze,8,3,8.16,75,610,29,1,4.78,83.2%,26,70.3%,51,67,53.2%,"1,337",101,45,45,1,12,41.4%,153,48.3%,12,35.3%,11,26,25,120,25,16,3,0
Martin Ødegaard,8,8,6.98,74,"1,571",21,2,10.55,86.9%,40,58.8%,94,35,48.6%,"2,334",175,54,35,1,16,34.8%,119,41.8%,3,30.0%,13,30,30,151,37,38,2,0
Bryan Mbeumo,8,5,9.31,50,432,19,3,5.18,73.1%,13,44.8%,29,23,39.0%,"1,042",106,37,39,Not Available,10,71.4%,98,39.7%,22,32.8%,6,10,21,84,17,12,2,0
Alejandro Garnacho,7,4,7.99,87,601,26,Not Available,2.80,79.8%,17,45.9%,43,39,39.0%,"1,314",240,45,53,2,14,66.7%,119,40.1%,7,22.6%,17,33,20,99,19,30,4,0
Callum Hudson-Odoi,7,1,2.57,34,507,19,Not Available,1.65,85.6%,28,70.0%,31,41,62.1%,949,71,32,27,1,5,35.7%,83,46.4%,1,12.5%,6,6,14,86,11,18,0,0
Cody Gakpo,7,5,7.01,59,374,22,Not Available,2.30,78.6%,8,80.0%,24,29,64.4%,821,99,29,34,Not Available,17,68.0%,118,52.4%,30,52.6%,12,16,24,71,18,12,1,0
Unknown,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Justin Kluivert,7,1,6.05,54,255,20,Not Available,1.54,71.4%,12,52.2%,20,24,38.1%,735,114,28,27,Not Available,14,51.9%,90,36.6%,12,35.3%,7,22,50,83,16,20,5,0
Mohammed Kudus,7,5,4.14,60,597,15,Not Available,3.08,84.3%,39,70.9%,25,117,61.3%,"1,484",103,82,73,1,44,72.1%,266,53.2%,15,34.9%,11,22,36,200,22,19,6,0
Unknown,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Rodri,7,9,3.85,58,"3,053",20,Not Available,5.84,92.3%,215,80.8%,46,40,76.9%,"3,752",84,31,33,1,39,60.9%,188,59.3%,52,69.3%,23,16,38,212,31,27,8,1
Scott McTominay,7,1,5.25,38,461,18,Not Available,0.48,81.7%,17,63.0%,9,8,50.0%,860,49,14,16,Not Available,22,50.0%,98,50.0%,32,44.4%,12,8,27,79,2,11,2,0
Dominic Calvert-Lewin,7,1,12.32,67,219,28,2,0.84,54.8%,4,50.0%,17,12,32.4%,744,122,24,30,Not Available,5,41.7%,187,45.2%,137,48.9%,4,7,28,40,14,13,1,0
Marcus Rashford,7,2,7.28,61,529,21,2,2.76,79.0%,24,54.5%,25,47,48.0%,"1,108",154,38,20,1,11,61.1%,99,40.7%,15,37.5%,4,22,13,80,14,17,2,0
Unknown,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Bernardo Silva,6,5,3.54,30,"1,427",13,Not Available,7.09,89.0%,52,64.2%,56,33,62.3%,"2,040",140,30,23,Not Available,23,47.9%,105,49.3%,1,10.0%,16,7,20,90,27,29,7,0
